4096,Escola Superior de Enfermagem São Francisco das Misericórdias,Lisboa,,Ensino Superior Privado Politécnico,
4105,Escola Superior de Saúde do Alcoitão,Lisboa,,Ensino Superior Privado Politécnico,
4590,Escola Superior de Saúde Atlântica,Lisboa,,Ensino Superior Privado Politécnico,
4091,Escola Superior de Saúde da Cruz Vermelha Portuguesa - Lisboa,Lisboa,,Ensino Superior Privado Politécnico,
4612,Instituto Politécnico da Lusofonia - Escola Superior de Ciências da Administração,Lisboa,,Ensino Superior Privado Politécnico,
4616,Instituto Politécnico da Lusofonia - Escola Superior de Educação da Lusofonia,Lisboa,,Ensino Superior Privado Politécnico,
4613,Instituto Politécnico da Lusofonia - Escola Superior de Engenharia e Tecnologias,Lisboa,,Ensino Superior Privado Politécnico,
4614,Instituto Politécnico da Lusofonia - Escola Superior de Saúde Ribeiro Sanches,Lisboa,,Ensino Superior Privado Politécnico,
4156,Instituto Português de Administração de Marketing de Lisboa,Lisboa,,Ensino Superior Privado Politécnico,
4530,Instituto Superior de Tecnologias Avançadas de Lisboa,Lisboa,,Ensino Superior Privado Politécnico,
4270,ISCE - Instituto Superior de Lisboa e Vale do Tejo,Lisboa,,Ensino Superior Privado Politécnico,
4298,ISEC Lisboa - Instituto Superior de Educação e Ciências,Lisboa,,Ensino Superior Privado Politécnico,
1102,Universidade do Porto - Faculdade de Arquitetura,Porto,,Ensino Superior Público Universitário,
5402,Universidade do Porto - Faculdade de Belas-Artes,Porto,,Ensino Superior Público Universitário,
1103,Universidade do Porto - Faculdade de Ciências,Porto,,Ensino Superior Público Universitário,
1101,Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,Porto,,Ensino Superior Público Universitário,
1111,Universidade do Porto - Faculdade de Desporto,Porto,,Ensino Superior Público Universitário,
1114,Universidade do Porto - Faculdade de Direito,Porto,,Ensino Superior Público Universitário,
1104,Universidade do Porto - Faculdade de Economia,Porto,,Ensino Superior Público Universitário,
1105,Universidade do Porto - Faculdade de Engenharia,Porto,,Ensino Superior Público Universitário,
1106,Universidade do Porto - Faculdade de Farmácia,Porto,,Ensino Superior Público Universitário,
1107,Universidade do Porto - Faculdade de Letras,Porto,,Ensino Superior Público Universitário,
1108,Universidade do Porto - Faculdade de Medicina,Porto,,Ensino Superior Público Universitário,
1113,Universidade do Porto - Faculdade de Medicina Dentária,Porto,,Ensino Superior Público Universitário,
1109,Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,Porto,,Ensino Superior Público Universitário,
1110,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Porto,,Ensino Superior Público Universitário,
